 N = 65536

core : 0

========================================
index : 0 , inputs 0 = 0000000000000000 , correct : 1, out_put:40963
index : 1 , inputs 16384 = 0100000000000000 , correct : 32767, out_put:9226
index : 2 , inputs 8192 = 0010000000000000 , correct : 8193, out_put:33673
index : 3 , inputs 24576 = 0110000000000000 , correct : 5051, out_put:58507
index : 4 , inputs 4096 = 0001000000000000 , correct : 27035, out_put:40528
index : 5 , inputs 20480 = 0101000000000000 , correct : 34935, out_put:54446
index : 6 , inputs 12288 = 0011000000000000 , correct : 21787, out_put:17342
index : 7 , inputs 28672 = 0111000000000000 , correct : 55044, out_put:36447
index : 8 , inputs 2048 = 0000100000000000 , correct : 8323, out_put:63124
index : 9 , inputs 18432 = 0100100000000000 , correct : 45465, out_put:36596
index : 10 , inputs 10240 = 0010100000000000 , correct : 62094, out_put:29453
index : 11 , inputs 26624 = 0110100000000000 , correct : 33622, out_put:13438
index : 12 , inputs 6144 = 0001100000000000 , correct : 5597, out_put:26628
index : 13 , inputs 22528 = 0101100000000000 , correct : 41352, out_put:50024
index : 14 , inputs 14336 = 0011100000000000 , correct : 63518, out_put:25230
index : 15 , inputs 30720 = 0111100000000000 , correct : 27034, out_put:31624
index : 16 , inputs 1024 = 0000010000000000 , correct : 49959, out_put:28744
index : 17 , inputs 17408 = 0100010000000000 , correct : 396, out_put:44108
index : 18 , inputs 9216 = 0010010000000000 , correct : 13527, out_put:8524
index : 19 , inputs 25600 = 0110010000000000 , correct : 37841, out_put:41308
index : 20 , inputs 5120 = 0001010000000000 , correct : 17439, out_put:27141
index : 21 , inputs 21504 = 0101010000000000 , correct : 59533, out_put:8545
index : 22 , inputs 13312 = 0011010000000000 , correct : 52583, out_put:12559
index : 23 , inputs 29696 = 0111010000000000 , correct : 58701, out_put:6423
index : 24 , inputs 3072 = 0000110000000000 , correct : 21609, out_put:33441
index : 25 , inputs 19456 = 0100110000000000 , correct : 26576, out_put:38121
index : 26 , inputs 11264 = 0010110000000000 , correct : 59051, out_put:13261
index : 27 , inputs 27648 = 0110110000000000 , correct : 63678, out_put:58848
index : 28 , inputs 7168 = 0001110000000000 , correct : 1866, out_put:389
index : 29 , inputs 23552 = 0101110000000000 , correct : 31895, out_put:55969
index : 30 , inputs 15360 = 0011110000000000 , correct : 35436, out_put:45383
index : 31 , inputs 31744 = 0111110000000000 , correct : 804, out_put:58573
index : 32 , inputs 512 = 0000001000000000 , correct : 59179, out_put:12151
index : 33 , inputs 16896 = 0100001000000000 , correct : 24959, out_put:42826
index : 34 , inputs 8704 = 0010001000000000 , correct : 12063, out_put:60372
index : 35 , inputs 25088 = 0110001000000000 , correct : 23159, out_put:29031
index : 36 , inputs 4608 = 0001001000000000 , correct : 45720, out_put:57436
index : 37 , inputs 20992 = 0101001000000000 , correct : 42783, out_put:31128
index : 38 , inputs 12800 = 0011001000000000 , correct : 10326, out_put:32602
index : 39 , inputs 29184 = 0111001000000000 , correct : 57370, out_put:41878
index : 40 , inputs 2560 = 0000101000000000 , correct : 47785, out_put:48439
index : 41 , inputs 18944 = 0100101000000000 , correct : 33721, out_put:46351
index : 42 , inputs 10752 = 0010101000000000 , correct : 2398, out_put:15471
